Numéro de ligne	Lien	Code HTTP	Encodage	Nombre de mots
11	https://fr.wikipedia.org/wiki/Robot	429	utf-8	    1166
12	https://fr.wikipedia.org/wiki/Robot_de_cuisine	429	utf-8	     267
13	fr.wikipedia.org/wiki/Robot_d%27indexation	200		     425
14	https://fr.wikipedia.org/wiki/Bot_informatique	429	utf-8	     495
15	https://fr.wikipedia.org/wiki/Atlas_(robot)	200	utf-8	     268
16	https://roboty.magistry.fr	000		       0
17	https://fr.wikipedia.org/wiki/Robot_(Leonard_de_Vinci)	429	utf-8	     130
18	https://fr.wiktionary.org/wiki/robot	429	utf-8	    1344
19	https://fr.wikipedia.org/wiki/Protocole_d%27exclusion_des_robots	200	utf-8	     307
20	https://fr.wikipedia.org/wiki/Robotique	429	utf-8	    1945
